title,publisher,setName,subSet,setCount,releaseDate,setYear,tcdbUrl,priceguideUrl,setType
2015 Topps Definitive Collection - Framed Rookie Autograph Patch Blue,,,,35,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127139/2015-Topps-Definitive-Collection---Framed-Rookie-Autograph-Patch-Blue,,Football
2001 Donruss Elite - Passing the Torch,,,,24,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12714/2001-Donruss-Elite---Passing-the-Torch,,Baseball
2015 Topps Definitive Collection - Framed Rookie Autograph Patch Pink,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127140/2015-Topps-Definitive-Collection---Framed-Rookie-Autograph-Patch-Pink,,Football
2015 Topps Definitive Collection - Framed Rookie Autograph Patch Red,,,,35,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127141/2015-Topps-Definitive-Collection---Framed-Rookie-Autograph-Patch-Red,,Football
2015 Topps Definitive Collection - Framed Rookie Autographs,,,,25,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127142/2015-Topps-Definitive-Collection---Framed-Rookie-Autographs,,Football
2015 Topps Definitive Collection - Framed Rookie Autographs Blue,,,,25,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127143/2015-Topps-Definitive-Collection---Framed-Rookie-Autographs-Blue,,Football
2015 Topps Definitive Collection - Framed Rookie Autographs Pink,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127144/2015-Topps-Definitive-Collection---Framed-Rookie-Autographs-Pink,,Football
2015 Topps Definitive Collection - Framed Rookie Autographs Red,,,,25,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127145/2015-Topps-Definitive-Collection---Framed-Rookie-Autographs-Red,,Football
2015 Topps Definitive Collection - Jumbo Patch,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127146/2015-Topps-Definitive-Collection---Jumbo-Patch,,Football
2015 Topps Definitive Collection - Jumbo Patch Blue,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127147/2015-Topps-Definitive-Collection---Jumbo-Patch-Blue,,Football
2015 Topps Definitive Collection - Jumbo Patch Green,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127148/2015-Topps-Definitive-Collection---Jumbo-Patch-Green,,Football
2015 Topps Definitive Collection - Jumbo Patch Pink,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127149/2015-Topps-Definitive-Collection---Jumbo-Patch-Pink,,Football
2001 Donruss Elite - Passing the Torch Autographs,,,,25,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12715/2001-Donruss-Elite---Passing-the-Torch-Autographs,,Baseball
2015 Topps Definitive Collection - Jumbo Patch Red,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127150/2015-Topps-Definitive-Collection---Jumbo-Patch-Red,,Football
2015 Topps Definitive Collection - Leather Bound Rookie Autograph Patch,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127151/2015-Topps-Definitive-Collection---Leather-Bound-Rookie-Autograph-Patch,,Football
2015 Topps Definitive Collection - Leather Bound Rookie Autograph Patch Red,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127152/2015-Topps-Definitive-Collection---Leather-Bound-Rookie-Autograph-Patch-Red,,Football
2015 Topps Definitive Collection - Legendary Autograph,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127153/2015-Topps-Definitive-Collection---Legendary-Autograph,,Football
2015 Topps Definitive Collection - Legendary Autograph Blue,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127154/2015-Topps-Definitive-Collection---Legendary-Autograph-Blue,,Football
2015 Topps Definitive Collection - Legendary Autograph Red,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127155/2015-Topps-Definitive-Collection---Legendary-Autograph-Red,,Football
2015 Topps Definitive Collection - Rookie Nameplate,,,,16,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127156/2015-Topps-Definitive-Collection---Rookie-Nameplate,,Football
